,id,B,S,initial_state,iterations,file,density_evolution
0,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 1]
 [1 1 1 0 1 0 1 1 1 1]
 [1 1 1 1 0 1 1 1 1 1]
 [1 1 1 0 0 1 1 0 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [1 1 0 1 0 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n0,"[0.83, 0.03, 0.97, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
1,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 0]
 [1 1 1 0 1 0 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 0 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 1 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [1 1 0 0 1 1 0 1 1 1]
 [1 1 1 1 1 1 1 1 1 0]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n1,"[0.83, 0.02, 0.98, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
2,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 0 1 1]
 [1 1 1 0 1 0 0 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 0 1 1]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 0 1 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [0 1 0 0 1 0 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n2,"[0.81, 0.03, 0.97, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
3,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 1]
 [1 1 1 0 1 0 1 1 1 1]
 [1 0 1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 0 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [0 1 0 0 1 1 0 1 1 1]
 [1 1 1 1 1 1 1 1 1 0]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n3,"[0.81, 0.03, 0.97, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
4,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 1]
 [1 1 1 0 1 0 1 1 1 1]
 [1 1 1 1 1 0 1 1 1 1]
 [1 1 1 1 0 1 0 1 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [0 1 0 1 1 1 0 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n4,"[0.83, 0.04, 0.96, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
5,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 0 1]
 [1 1 1 0 1 0 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 0 1 0]
 [1 1 1 0 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 0 1 1]
 [0 1 1 1 1 0 0 1 1 0]
 [1 1 0 1 1 1 0 0 1 1]
 [0 1 1 0 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n5,"[0.81, 0.03, 0.97, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
6,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 1]
 [1 1 1 0 1 0 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 0 0]
 [1 0 1 0 1 1 1 1 1 0]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [0 1 0 0 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n6,"[0.83, 0.03, 0.97, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
7,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 1]
 [1 1 1 0 1 0 1 1 1 1]
 [1 1 1 1 1 0 1 1 1 1]
 [1 0 1 1 0 1 1 1 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 1 1 1]
 [0 1 0 0 1 1 1 1 1 1]
 [1 1 0 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n7,"[0.83, 0.02, 0.98, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
8,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 1 0 1 1 1 1]
 [1 1 1 1 0 1 1 1 1 1]
 [1 1 1 1 0 1 1 0 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 0 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [1 1 0 0 1 0 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n8,"[0.81, 0.04, 0.96, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
9,<built-in function id>,"(0, 5)","(3, 3)","[[1 1 1 0 0 1 1 1 1 1]
 [1 1 1 0 0 0 1 1 0 1]
 [1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 0 1 1 0 1 0]
 [1 1 1 1 1 1 1 1 0 1]
 [1 0 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 0 0 1 1 1]
 [1 1 0 1 1 1 0 0 1 1]
 [0 1 0 0 1 1 1 1 0 1]
 [1 1 1 1 1 1 1 1 1 1]]",10,./data/datasets/BISI/dataset12_chaotic/individuals/ca_<built-in function id>_k0_n9,"[0.79, 0.07, 0.97, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
