,id,life_threshold,death_threshold,size,density,iterations,file,density_evolution
0,0,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_0,"[0.51, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,1,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_1,"[0.43, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,2,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_2,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,3,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_3,"[0.55, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,4,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_4,"[0.55, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,5,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_5,"[0.47, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,6,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_6,"[0.53, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,7,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_7,"[0.59, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,8,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_8,"[0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,9,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_9,"[0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,10,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_10,"[0.51, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,11,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_11,"[0.51, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,12,0,0,10,0.5,10,./data2/dataset4/individuals/ca_pair_0_12,"[0.46, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
